Comment,Designator,Footprint
MX_SW_HS,"MX71,MX45,MX41,MX92,MX3,MX77,MX73,MX68,MX26,MX8,MX89,MX10,MX50,MX18,MX42,MX55,MX61,MX79,MX52,MX6,MX49,MX44,MX17,MX82,MX25,MX34,MX13,MX43,MX56,MX4,MX81,MX37,MX59,MX35,MX88,MX48,MX36,MX75,MX54,MX19,MX29,MX85,MX2,MX47,MX16,MX5,MX83,MX30,MX74,MX1,MX67,MX32,MX78,MX87,MX51,MX76,MX14,MX62,MX12,MX64,MX70,MX90,MX11,MX84,MX9,MX21,MX53,MX27,MX72,MX38,MX91,MX39,MX63,MX65,MX28,MX23,MX46,MX20,MX60,MX33,MX24,MX57,MX58,MX40,MX15,MX7,MX22",MXOnly-1U-Hotswap
MX_SW_HS,MX93,MXOnly-6.25U-Hotswap-ReversedStabilizers
Conn_01x05_Male,J2,PinHeader_1x05_P2.54mm_Vertical
MX_SW_HS,MX80,MXOnly-2.75U-Hotswap
RotaryEncoder_Switch,SW2,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm
MX_SW_HS,"MX66,MX69",MXOnly-2.25U-Hotswap
MX_SW_HS,MX31,MXOnly-2U-Hotswap
1uF,"C11,C12",C_0402_1005Metric
D_Small,"D18,D63,D46,D89,D23,D41,D34,D38,D67,D65,D74,D87,D84,D22,D69,D77,D24,D27,D3,D37,D17,D52,D42,D90,D58,D93,D53,D6,D20,D12,D72,D39,D44,D92,D86,D51,D16,D35,D57,D15,D28,D7,D47,D11,D85,D73,D79,D56,D29,D88,D26,D55,D31,D76,D9,D49,D45,D70,D59,D78,D81,D10,D83,D75,D30,D66,D48,D60,D33,D64,D62,D21,D36,D5,D1,D71,D68,D32,D61,D2,D82,D14,D4,D8,D19,D43,D80,D50,D13,D25,D40,D54,D91",D_SOD-123
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_GCT_USB4085_CUSTOM
10k,"R4,R5,R6,R3,R8",R_0805_2012Metric
100nF,"C13,C15,C14,C8,C6,C9,C7",C_0402_1005Metric
5.1k,"R1,R2",R_0805_2012Metric
XC6206PxxxMR,U2,SOT-23-3
120R,FB1,L_0603_1608Metric
16MHz,Y1,Crystal_SMD_5032-4Pin_5.0x3.2mm
22uF,"C2,C1",C_0805_2012Metric
10uF,C5,C_0805_2012Metric
10nF,C10,C_0402_1005Metric
30pF,"C4,C3",C_0402_1005Metric
SW_SPDT,SW1,SW_SPDT_PCM12
1.5k,R7,R_0805_2012Metric
STM32F303C8Tx,U4,LQFP-48_7x7mm_P0.5mm